Timestamp,Sei iscritto/a alla Sapienza?, Qual è il sistema operativo mobile che utilizzi con più frequenza?,Seleziona il dipartimento a cui sei iscritto/a:,Nell'ambito dello studio quale dispositivo usi maggiormente?  ,Quali tra queste piattaforme hai utilizzato?,Quanto spesso utilizzi l'app di Infostud?,Ti piacerebbe ricevere delle notifiche riguardo gli annunci dei professori?,Ti piacerebbe poter scaricare eventuali slides ed esercizi di un corso?,Ti piacerebbe poter comunicare con colleghi e docenti tramite un forum?, Qual è il sistema operativo mobile che utilizzi con più frequenza?,Nell'ambito dello studio quale dispositivo usi maggiormente?  ,Quali tra queste piattaforme hai utilizzato?,Quanto spesso utilizzi l'app della tua università?,Ti piacerebbe ricevere delle notifiche riguardo gli annunci dei professori?,Ti piacerebbe poter scaricare eventuali slides ed esercizi di un corso?,Ti piacerebbe poter comunicare con colleghi e docenti tramite un forum?,"Nell'ambito di questa comunicazione, ti piacerebbe poterlo fare in maniera anonima?",Preferiresti che questo forum sia nascosto ai professori?,"Preferiresti essere iscritto automaticamente alle pagine dei corsi in base al tuo percorso di studi, oppure poterlo fare in autonomia, magari potendo accedere anche a pagine di anni precedenti?",Seleziona tra queste le funzionalità/sezioni che ritieni più utili riguardo a un corso:,Ti piacerebbe poter accedere a queste funzionalità/sezioni anche da una pagina web?,"Preferiresti essere iscritto automaticamente alle pagine dei corsi in base al tuo percorso di studi, oppure poterlo fare in autonomia, magari potendo accedere anche a pagine di anni precedenti?",Seleziona tra queste le funzionalità/sezioni che ritieni più utili riguardo a un corso:,Ti piacerebbe poter accedere a queste funzionalità/sezioni anche da una pagina web?
12/5/2021 15:47:36,No,,,,,,,,,Android,Computer portatile,"Moodle (e-learning), Sito del docente, Microsoft Teams",5,"Si, dall'app dell'università",Si,Si,No,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni, Aspetti pratici nella vita di tutti i giorni, collegamenti teorico pratici ",Si,,,
12/5/2021 15:49:30,Si,Android,Informatica,Computer portatile,"Moodle (e-learning), Twiki, Google Classroom, Sito del docente",3,"Si, dall'app di Infostud",Si,Si,,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/5/2021 15:58:36,No,,,,,,,,,iOS,"Computer portatile, iPad",Microsoft Teams,4,"Si, dall'app dell'università","Si, dall'app dell'università","Si, dall'app dell'università",Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/5/2021 17:00:35,Si,Android,Informatica,"Computer fisso, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",4,"Si, dall'app di Infostud","Si, dall'app di Infostud",Si,,,,,,,,Si,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/5/2021 17:51:26,Si,iOS,Comunicazione e ricerca sociale,"Computer portatile, Smartphone","Moodle (e-learning), Google Classroom, Sito del docente",4,"Si, dall'app di Infostud",Si,No,,,,,,,,,,,,,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",No
12/5/2021 17:56:33,Si,iOS,"Ingegneria dell'informazione, elettronica e telecomunicazioni","Computer portatile, Computer fisso","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",2,Si,Si,"Si, dall'app di Infostud",,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/5/2021 17:59:02,Si,iOS,"Ingegneria informatica, automatica e gestionale Antonio Ruberti","Computer portatile, Computer fisso","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",2,Si,Si,Si,,,,,,,,No,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/5/2021 18:09:29,Si,iOS,Economia e diritto,Computer portatile,Google Classroom,4,"Si, dall'app di Infostud",Si,Non so come funziona un forum,,,,,,,,,,,,,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Modalità d'esame, Risultati degli esami, Programma del corso, Lista dei libri di testo consigliati, Esempi d'esame, Registrazioni delle lezioni, Materiale didattico degli anni precedenti",Si
12/5/2021 18:11:29,Si,iOS,Chimica,Computer portatile,"Moodle (e-learning), Google Classroom, Sito del docente",4,Si,Si,Si,,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame",Si,,,
12/5/2021 18:40:35,No,,,,,,,,,Android,Computer portatile,"Moodle (e-learning), Sito del docente, Microsoft Teams",3,"Si, dall'app dell'università",Si,Non so come funziona un forum,,,,,,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Visualizzare i partecipanti al corso, Diario delle lezioni, Homework/esercizi assegnati, Esempi d'esame",Si
12/5/2021 18:53:31,Si,iOS,Altro,Computer portatile,Google Classroom,1,Si,Si,No,,,,,,,,,,,,,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Esempi d'esame, Registrazioni delle lezioni, Materiale didattico degli anni precedenti",Si
12/5/2021 18:53:33,Si,iOS,Lettere e culture moderne,Computer portatile,"Moodle (e-learning), Google Classroom",1,Si,Si,Si,,,,,,,,Si,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/5/2021 20:09:23,No,,,,,,,,,iOS,"Computer portatile, Tablet","Moodle (e-learning), Microsoft Teams",2,"Si, dall'app dell'università","Si, dall'app dell'università","Si, dall'app dell'università",Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/5/2021 21:12:48,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",2,"Si, dall'app di Infostud","Si, dall'app di Infostud",Si,,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Diario delle lezioni, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
