Timestamp,Sei iscritto/a alla Sapienza?, Qual è il sistema operativo mobile che utilizzi con più frequenza?,Seleziona il dipartimento a cui sei iscritto/a:,Nell'ambito dello studio quale dispositivo usi maggiormente?  ,Quali tra queste piattaforme hai utilizzato?,Quanto spesso utilizzi l'app di Infostud?,Ti piacerebbe ricevere delle notifiche riguardo gli annunci dei professori?,Ti piacerebbe poter scaricare eventuali slides ed esercizi di un corso?,Ti piacerebbe poter comunicare con colleghi e docenti tramite un forum?, Qual è il sistema operativo mobile che utilizzi con più frequenza?,Nell'ambito dello studio quale dispositivo usi maggiormente?  ,Quali tra queste piattaforme hai utilizzato?,Quanto spesso utilizzi l'app della tua università?,Ti piacerebbe ricevere delle notifiche riguardo gli annunci dei professori?,Ti piacerebbe poter scaricare eventuali slides ed esercizi di un corso?,Ti piacerebbe poter comunicare con colleghi e docenti tramite un forum?,"Nell'ambito di questa comunicazione, ti piacerebbe poterlo fare in maniera anonima?",Preferiresti che questo forum sia nascosto ai professori?,"Preferiresti essere iscritto automaticamente alle pagine dei corsi in base al tuo percorso di studi, oppure poterlo fare in autonomia, magari potendo accedere anche a pagine di anni precedenti?",Seleziona tra queste le funzionalità/sezioni che ritieni più utili riguardo a un corso:,Ti piacerebbe poter accedere a queste funzionalità/sezioni anche da una pagina web?,"Preferiresti essere iscritto automaticamente alle pagine dei corsi in base al tuo percorso di studi, oppure poterlo fare in autonomia, magari potendo accedere anche a pagine di anni precedenti?",Seleziona tra queste le funzionalità/sezioni che ritieni più utili riguardo a un corso:,Ti piacerebbe poter accedere a queste funzionalità/sezioni anche da una pagina web?
12/6/2021 12:06:29,Si,iOS,"Ingegneria informatica, automatica e gestionale Antonio Ruberti","Computer portatile, iPad",Microsoft Teams,1,Si,Si,"Si, dall'app di Infostud",,,,,,,,Si,Si,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Modalità d'esame, Esempi d'esame",Si,,,
12/6/2021 12:13:58,Si,iOS,Altro,iPad,"Moodle (e-learning), Google Classroom",5,"Si, dall'app di Infostud","Si, dall'app di Infostud",Si,,,,,,,,Si,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Lista dei libri di testo consigliati, Dispense, Esempi d'esame",Si,,,
12/6/2021 12:18:10,No,,,,,,,,,Android,"Computer portatile, Smartphone","Moodle (e-learning), Sito del docente, Microsoft Teams",5,"Si, dall'app dell'università","Si, dall'app dell'università","Si, dall'app dell'università",Si,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 12:18:38,No,,,,,,,,,Android,Computer fisso,"Moodle (e-learning), Sito del docente, Microsoft Teams",6,"Si, dall'app dell'università","Si, dall'app dell'università","Si, dall'app dell'università",No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 12:19:51,No,,,,,,,,,Android,"Computer portatile, Smartphone","Moodle (e-learning), Sito del docente, Microsoft Teams",1,Si,Si,Si,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 12:25:02,No,,,,,,,,,iOS,"Computer portatile, Smartphone","Moodle (e-learning), Sito del docente, Microsoft Teams",4,"Si, dall'app dell'università","Si, dall'app dell'università","Si, dall'app dell'università",Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 12:26:28,Si,Android,Informatica,Computer portatile,"Moodle (e-learning), Twiki, Google Classroom",2,Si,Si,Si,,,,,,,,No,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 12:35:42,No,,,,,,,,,iOS,"Computer portatile, iPad","Moodle (e-learning), Microsoft Teams",6,"Si, dall'app dell'università","Si, dall'app dell'università","Si, dall'app dell'università",No,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 12:41:09,Si,iOS,Informatica,Computer portatile,"Moodle (e-learning), Twiki, Google Classroom, Sito del docente",4,Si,Si,Si,,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 12:52:47,Si,Android,Informatica,Computer portatile,"Moodle (e-learning), Twiki, Google Classroom, Sito del docente",3,"Si, dall'app di Infostud",Si,Si,,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Materiale didattico degli anni precedenti, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 13:06:24,No,,,,,,,,,Android,"Computer portatile, Smartphone","Moodle (e-learning), Google Classroom, Microsoft Teams",6,Si,Si,Si,Si,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Materiale didattico degli anni precedenti, Bacheca annunci del docente, Risultati degli esami, Homework/esercizi assegnati, Esempi d'esame",Si,,,
12/6/2021 13:36:08,Si,Android,Informatica,Computer fisso,"Moodle (e-learning), Twiki, Google Classroom",2,"Si, dall'app di Infostud","Si, dall'app di Infostud",No,,,,,,,,,,,,,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Homework/esercizi assegnati, Programma del corso, Esempi d'esame",Si
12/6/2021 13:44:41,Si,Android,Comunicazione e ricerca sociale,Computer portatile,"Moodle (e-learning), Google Classroom, Sito del docente",4,"Si, dall'app di Infostud",Si,Si,,,,,,,,Si,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Modalità d'esame, Risultati degli esami, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame",Si,,,
12/6/2021 13:49:01,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",2,Si,Si,Si,,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Risultati degli esami, Homework/esercizi assegnati, Dispense, Sondaggi, Esempi d'esame",Si,,,
12/6/2021 13:57:17,Si,Android,Informatica,"Computer portatile, Computer fisso","Moodle (e-learning), Twiki, Google Classroom",2,"Si, dall'app di Infostud",Si,Si,,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Registrazioni delle lezioni",Si,,,
12/6/2021 14:03:14,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Sito del docente",4,"Si, dall'app di Infostud","Si, dall'app di Infostud",Si,,,,,,,,Si,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 14:08:18,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",5,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,Si,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 14:11:18,No,,,,,,,,,Android,Computer portatile,"Moodle (e-learning), Sito del docente, Microsoft Teams",4,Si,Si,Si,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 14:17:47,Si,iOS,Altro,"Computer portatile, Tablet",Nessuna delle precedenti,2,Si,Si,Si,,,,,,,,Si,Si,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Programma del corso, Dispense, Registrazioni delle lezioni",Si,,,
12/6/2021 14:17:57,No,,,,,,,,,Android,"Computer portatile, Smartphone",Microsoft Teams,1,"Si, dall'app dell'università","Si, dall'app dell'università","Si, dall'app dell'università",Si,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 14:18:33,Si,Android,Informatica,Computer portatile,"Moodle (e-learning), Twiki, Google Classroom, Sito del docente",4,Si,Si,No,,,,,,,,,,,,,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni, Materiale didattico degli anni precedenti",Si
12/6/2021 14:20:39,Si,iOS,Informatica,"Computer portatile, iPad","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",2,Si,Si,Si,,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 14:26:39,No,,,,,,,,,iOS,Computer portatile,Microsoft Teams,4,"Si, dall'app dell'università","Si, dall'app dell'università",No,,,,,,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Bacheca annunci del docente, Modalità d'esame, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si
12/6/2021 14:45:58,Si,Android,Informatica,Computer fisso,"Moodle (e-learning), Google Classroom",2,Si,Si,Si,,,,,,,,Si,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 15:22:36,No,,,,,,,,,Android,Computer portatile,Microsoft Teams,3,Si,Si,No,,,,,,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni, Materiale didattico degli anni precedenti",Si
12/6/2021 15:23:02,Si,Android,Informatica,"Computer portatile, Tablet","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",1,"Si, dall'app di Infostud",Si,Si,,,,,,,,Si,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Esempi d'esame",Si,,,
12/6/2021 15:25:11,Si,iOS,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente, Microsoft Teams",3,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 15:26:34,Si,Android,Informatica,Computer portatile,"Moodle (e-learning), Twiki, Google Classroom, Sito del docente",2,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Dispense, Esempi d'esame",Si,,,
12/6/2021 15:31:09,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente, Microsoft Teams",5,"Si, dall'app di Infostud",Si,"Si, dall'app di Infostud",,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Diario delle lezioni, Materiale didattico degli anni precedenti, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Dispense, Esempi d'esame",Si,,,
12/6/2021 15:31:10,Si,Android,Studi giuridici ed economici,Computer portatile,"Moodle (e-learning), Google Classroom",5,Si,Si,Si,,,,,,,,Si,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 15:49:43,Si,Android,Informatica,"Computer portatile, Computer fisso","Moodle (e-learning), Twiki, Google Classroom, Sito del docente, Microsoft Teams",4,Si,Si,No,,,,,,,,,,,,,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni, Materiale didattico degli anni precedenti",Si
12/6/2021 16:23:28,Si,iOS,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",1,Si,Si,"Si, dall'app di Infostud",,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Esempi d'esame, Registrazioni delle lezioni",No,,,
12/6/2021 16:31:08,No,,,,,,,,,Android,Computer portatile,"Moodle (e-learning), Sito del docente, Microsoft Teams",6,Si,Si,Si,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Dispense, Esempi d'esame",Si,,,
12/6/2021 16:37:00,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom",2,"Si, dall'app di Infostud","Si, dall'app di Infostud",No,,,,,,,,,,,,,,"Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Dispense, Esempi d'esame, Registrazioni delle lezioni, Materiale didattico degli anni precedenti",Si
12/6/2021 16:40:51,Si,Android,Informatica,"Computer portatile, Smartphone","Google Classroom, Microsoft Teams",1,Si,Si,Si,,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 18:13:57,Si,Android,Altro,"Computer portatile, Smartphone","Moodle (e-learning), Sito del docente",3,Si,Si,Si,,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Modalità d'esame, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 18:15:10,Si,Android,"Ingegneria dell'informazione, elettronica e telecomunicazioni","Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",2,Si,Si,Si,,,,,,,,Si,No,,"Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 18:45:20,No,,,,,,,,,Android,"Computer portatile, Computer fisso","Google Classroom, Sito del docente, Microsoft Teams",3,"Si, dall'app dell'università","Si, dall'app dell'università","Si, dall'app dell'università",No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Materiale didattico degli anni precedenti, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 20:17:58,Si,Android,Scienze politiche,Computer portatile,"Moodle (e-learning), Google Classroom",3,"Si, dall'app di Infostud",Si,Si,,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Modalità d'esame, Risultati degli esami, Programma del corso, Dispense, Esempi d'esame",Si,,,
12/6/2021 20:21:47,Si,iOS,Filosofia,"Computer portatile, Smartphone","Google Classroom, Sito del docente",2,"Si, dall'app di Infostud",Si,Si,,,,,,,,Si,Si,,"Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 20:52:03,Si,Android,Informatica,"Computer fisso, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente, Microsoft Teams",3,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 23:17:55,No,,,,,,,,,Android,Smartphone,Microsoft Teams,2,Si,Si,Si,Si,No,,"Calendario didattico, Diario delle lezioni, Dispense, Registrazioni delle lezioni",Si,,,
12/7/2021 11:24:15,Si,iOS,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",4,Si,Si,Si,,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Materiale didattico degli anni precedenti, Modalità d'esame, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/7/2021 15:01:11,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom",2,Si,Si,Si,,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Diario delle lezioni, Materiale didattico degli anni precedenti, Modalità d'esame, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/7/2021 15:55:45,Si,iOS,Studi giuridici ed economici,"Computer portatile, Tablet","Moodle (e-learning), Google Classroom",5,Si,Si,Si,,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 12:02:52,Si,iOS,Altro,Tablet,"Google Classroom, Sito del docente, Microsoft Teams",4,Si,Si,Si,,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Esempi d'esame, Registrazioni delle lezioni",No,,,
12/8/2021 12:16:19,No,,,,,,,,,iOS,Computer portatile,Google Classroom,1,No,No,No,,,,,,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",No
12/8/2021 12:38:34,Si,Android,Altro,Computer portatile,"Moodle (e-learning), Google Classroom, Sito del docente, Microsoft Teams",2,Si,Si,Si,,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",No,,,
12/8/2021 12:47:43,Si,Android,Non ricordo,"Computer fisso, Smartphone",Google Classroom,2,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 12:49:11,No,,,,,,,,,Android,"Computer portatile, Smartphone",Microsoft Teams,4,"Si, dall'app dell'università","Si, dall'app dell'università","Si, dall'app dell'università",Si,Si,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 12:54:46,No,,,,,,,,,iOS,Computer portatile,"Moodle (e-learning), Google Classroom",4,Si,Si,Si,No,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Dispense, Registrazioni delle lezioni",Si,,,
12/8/2021 12:59:07,Si,Android,Informatica,Computer portatile,"Moodle (e-learning), Twiki, Google Classroom, Sito del docente, Microsoft Teams",5,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Homework/esercizi assegnati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 13:01:11,Si,Android,Informatica,Computer portatile,"Moodle (e-learning), Twiki, Google Classroom",5,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Homework/esercizi assegnati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 13:08:37,No,,,,,,,,,Android,Computer portatile,Nessuna delle precedenti,4,Si,"Si, dall'app dell'università",Si,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Calendario didattico, Modalità d'esame, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame",Si,,,
12/8/2021 13:09:15,Si,Android,Architettura e progetto,"Computer portatile, Smartphone","Moodle (e-learning), Google Classroom, Sito del docente",5,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
